Subject,Tool,Category,Task,Time,LOC,Errors
1,Gedit,TE,1,256,745,5
2,Gedit,TE,1,201,779,0
3,Gedit,TE,1,289,783,0
4,Gedit,TE,1,300,716,8
5,Gedit,TE,1,275,770,9
6,Gedit,TE,1,244,641,4
7,Gedit,TE,1,262,695,8
8,Gedit,TE,1,268,787,9
9,Gedit,TE,1,273,785,5
10,Gedit,TE,1,281,675,0
11,Emacs,TE,1,272,782,7
12,Emacs,TE,1,245,717,2
13,Emacs,TE,1,228,711,3
14,Emacs,TE,1,244,740,5
15,Emacs,TE,1,280,809,10
16,Emacs,TE,1,304,710,6
17,Emacs,TE,1,273,650,1
18,Emacs,TE,1,241,831,0
19,Emacs,TE,1,250,841,4
20,Emacs,TE,1,260,817,6
21,Intellij,IDE,1,196,790,4
22,Intellij,IDE,1,260,722,2
23,Intellij,IDE,1,228,654,4
24,Intellij,IDE,1,253,683,3
25,Intellij,IDE,1,209,776,2
26,Intellij,IDE,1,274,656,0
27,Intellij,IDE,1,215,607,5
28,Intellij,IDE,1,240,753,2
29,Intellij,IDE,1,232,690,2
30,Intellij,IDE,1,190,711,3
31,Eclipse,IDE,1,235,745,3
32,Eclipse,IDE,1,252,759,4
33,Eclipse,IDE,1,251,722,0
34,Eclipse,IDE,1,240,703,4
35,Eclipse,IDE,1,190,696,4
36,Eclipse,IDE,1,270,724,7
37,Eclipse,IDE,1,211,763,3
38,Eclipse,IDE,1,262,695,5
39,Eclipse,IDE,1,233,669,5
40,Eclipse,IDE,1,232,693,6
1,Gedit,TE,2,78,51,3
2,Gedit,TE,2,72,41,2
3,Gedit,TE,2,85,39,1
4,Gedit,TE,2,70,42,2
5,Gedit,TE,2,65,45,2
6,Gedit,TE,2,100,43,3
7,Gedit,TE,2,70,47,2
8,Gedit,TE,2,91,35,3
9,Gedit,TE,2,107,46,2
10,Gedit,TE,2,84,40,2
11,Emacs,TE,2,85,44,3
12,Emacs,TE,2,72,50,3
13,Emacs,TE,2,104,45,3
14,Emacs,TE,2,65,39,2
15,Emacs,TE,2,74,44,1
16,Emacs,TE,2,70,36,1
17,Emacs,TE,2,73,47,4
18,Emacs,TE,2,71,38,3
19,Emacs,TE,2,101,38,4
20,Emacs,TE,2,105,55,3
21,Intellij,IDE,2,79,46,2
22,Intellij,IDE,2,92,48,2
23,Intellij,IDE,2,88,47,1
24,Intellij,IDE,2,84,48,1
25,Intellij,IDE,2,75,45,2
26,Intellij,IDE,2,103,47,4
27,Intellij,IDE,2,65,45,3
28,Intellij,IDE,2,82,48,2
29,Intellij,IDE,2,98,45,3
30,Intellij,IDE,2,93,47,3
31,Eclipse,IDE,2,66,49,3
32,Eclipse,IDE,2,67,46,4
33,Eclipse,IDE,2,85,47,0
34,Eclipse,IDE,2,89,51,2
35,Eclipse,IDE,2,84,43,0
36,Eclipse,IDE,2,83,48,1
37,Eclipse,IDE,2,92,50,4
38,Eclipse,IDE,2,77,47,2
39,Eclipse,IDE,2,91,48,3
40,Eclipse,IDE,2,64,48,1
1,Gedit,TE,3,137,196,15
2,Gedit,TE,3,118,148,10
3,Gedit,TE,3,129,237,13
4,Gedit,TE,3,78,202,14
5,Gedit,TE,3,175,197,11
6,Gedit,TE,3,108,209,13
7,Gedit,TE,3,95,191,3
8,Gedit,TE,3,105,225,10
9,Gedit,TE,3,137,186,12
10,Gedit,TE,3,110,196,14
11,Emacs,TE,3,86,195,14
12,Emacs,TE,3,181,173,12
13,Emacs,TE,3,81,156,11
14,Emacs,TE,3,158,184,11
15,Emacs,TE,3,167,186,11
16,Emacs,TE,3,112,166,10
17,Emacs,TE,3,146,206,13
18,Emacs,TE,3,147,214,13
19,Emacs,TE,3,90,208,11
20,Emacs,TE,3,100,179,10
21,Intellij,IDE,3,119,244,8
22,Intellij,IDE,3,94,261,8
23,Intellij,IDE,3,85,251,8
24,Intellij,IDE,3,74,259,8
25,Intellij,IDE,3,133,216,6
26,Intellij,IDE,3,112,229,9
27,Intellij,IDE,3,116,276,6
28,Intellij,IDE,3,131,244,9
29,Intellij,IDE,3,121,229,3
30,Intellij,IDE,3,77,238,3
31,Eclipse,IDE,3,106,264,6
32,Eclipse,IDE,3,126,248,10
33,Eclipse,IDE,3,117,270,8
34,Eclipse,IDE,3,126,228,9
35,Eclipse,IDE,3,82,249,5
36,Eclipse,IDE,3,109,247,5
37,Eclipse,IDE,3,126,283,8
38,Eclipse,IDE,3,125,207,2
39,Eclipse,IDE,3,98,267,7
40,Eclipse,IDE,3,157,239,2
